Date,Crop,Price
2020-01-15,Rice,30.5
2020-02-15,Rice,31.0
2020-03-15,Rice,30.8
2020-04-15,Rice,32.0
2020-05-15,Rice,33.5
2020-06-15,Rice,35.0
2020-07-15,Rice,34.5
2020-08-15,Rice,36.0
2020-09-15,Rice,35.5
2020-10-15,Rice,38.0
2020-11-15,Rice,37.5
2020-12-15,Rice,39.0
2021-01-15,Rice,40.0
2021-02-15,Rice,41.5
2021-03-15,Rice,42.0
2021-04-15,Rice,41.0
2021-05-15,Rice,43.0
2021-06-15,Rice,44.5
2021-07-15,Rice,45.0
2021-08-15,Rice,46.5
2021-09-15,Rice,45.5
2021-10-15,Rice,47.0
2021-11-15,Rice,48.0
2021-12-15,Rice,49.5
2022-01-15,Rice,50.0
2022-02-15,Rice,49.5
2022-03-15,Rice,51.0
2022-04-15,Rice,52.5
2022-05-15,Rice,54.0
2022-06-15,Rice,55.0
2022-07-15,Rice,53.5
2022-08-15,Rice,56.0
2022-09-15,Rice,55.5
2022-10-15,Rice,57.0
2022-11-15,Rice,58.0
2022-12-15,Rice,60.0
2023-01-15,Rice,61.0
2023-02-15,Rice,62.5
2023-03-15,Rice,61.5
2023-04-15,Rice,63.0
2023-05-15,Rice,65.0
2023-06-15,Rice,66.0
2023-07-15,Rice,64.5
2023-08-15,Rice,67.0
2023-09-15,Rice,68.0
2023-10-15,Rice,70.0
2023-11-15,Rice,69.5
2023-12-15,Rice,71.0
2024-01-15,Rice,72.0
2024-02-15,Rice,73.5
2024-03-15,Rice,74.0
2024-04-15,Rice,75.0
2024-05-15,Rice,76.5
2024-06-15,Rice,78.0
2024-07-15,Rice,77.5
2024-08-15,Rice,79.0
2024-09-15,Rice,80.0
2024-10-15,Rice,82.0
2024-11-15,Rice,81.5
2024-12-15,Rice,83.0
2025-01-15,Rice,85.0
2020-01-15,Wheat,25.0
2020-06-15,Wheat,27.5
2020-12-15,Wheat,29.0
2021-01-15,Wheat,30.0
2021-06-15,Wheat,32.5
2021-12-15,Wheat,34.0
2022-01-15,Wheat,35.0
2022-06-15,Wheat,38.0
2022-12-15,Wheat,40.0
2023-01-15,Wheat,42.0
2023-06-15,Wheat,45.0
2023-12-15,Wheat,48.0
2024-01-15,Wheat,50.0
2024-06-15,Wheat,52.5
2024-12-15,Wheat,55.0
2025-01-15,Wheat,56.0
2020-01-15,Tomato,15.0
2020-06-15,Tomato,25.0
2020-12-15,Tomato,18.0
2021-01-15,Tomato,20.0
2021-06-15,Tomato,45.0
2021-12-15,Tomato,22.0
2022-01-15,Tomato,25.0
2022-06-15,Tomato,60.0
2022-12-15,Tomato,30.0
2023-01-15,Tomato,35.0
2023-06-15,Tomato,80.0
2023-12-15,Tomato,40.0
2024-01-15,Tomato,45.0
2024-06-15,Tomato,90.0
2024-12-15,Tomato,50.0
2025-01-15,Tomato,55.0
2020-01-15,Potato,18.0
2021-01-15,Potato,20.0
2022-01-15,Potato,24.0
2023-01-15,Potato,28.0
2024-01-15,Potato,32.0
2025-01-15,Potato,35.0
